City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
94,Ponta Do Sol,32.6667,-17.1,70.43,75,75,4.23,PT
95,Guaruja,-23.9931,-46.2564,74.91,52,90,1.01,BR
96,Hilo,19.7297,-155.09,83.93,68,40,11.5,US
97,Bredasdorp,-34.5322,20.0403,61.92,72,12,8.05,ZA
98,Klaksvik,62.2266,-6.589,54.52,93,100,26.33,FO
99,Rudbar,30.15,62.6,78.75,12,0,2.73,AF
100,Kut Chap,17.4257,102.5669,74.71,96,100,7.0,TH
101,Hasaki,35.7333,140.8333,68.4,60,100,14.52,JP
102,Rahuri,19.3833,74.65,73.45,92,100,2.53,IN
103,Hovd,48.0056,91.6419,36.91,32,29,6.38,MN
104,Saint George,37.1041,-113.5841,94.53,16,1,4.0,US
105,Provideniya,64.3833,-173.3,32.54,87,100,2.37,RU
106,Faanui,-16.4833,-151.75,78.69,75,9,9.75,PF
107,Belmonte,-15.8631,-38.8828,73.9,75,7,9.19,BR
108,San Patricio,28.017,-97.5169,89.69,38,2,12.68,US
109,Tiksi,71.6872,128.8694,32.23,89,100,20.6,RU
110,Teya,60.3778,92.6267,34.05,90,94,5.32,RU
111,Cape Town,-33.9258,18.4232,62.28,86,75,8.05,ZA
112,Biak,-0.9131,122.8766,75.2,85,98,5.44,ID
113,Krasnoborsk,61.5598,45.934,44.73,98,100,5.84,RU
114,Dingle,10.9995,122.6711,76.3,91,89,4.34,PH
115,Carnarvon,-24.8667,113.6333,66.27,72,75,10.36,AU
116,Gobabis,-22.45,18.9667,69.51,20,4,12.39,NA
117,High Level,58.5169,-117.136,62.71,29,20,9.22,CA
118,Pevek,69.7008,170.3133,30.81,97,100,19.15,RU
119,Lavrentiya,65.5833,-171.0,32.79,83,100,6.69,RU
120,Alofi,-19.0595,-169.9187,76.89,57,9,5.75,NU
121,Nelson Bay,-32.7167,152.15,58.1,72,100,1.99,AU
122,Hermanus,-34.4187,19.2345,61.81,87,24,11.1,ZA
123,Conde,-7.2597,-34.9075,76.46,88,40,6.91,BR
124,Fairbanks,64.8378,-147.7164,34.61,88,75,0.0,US
125,Pangnirtung,66.1451,-65.7125,35.58,55,100,2.51,CA
126,Cocula,20.3652,-103.8222,84.13,57,85,2.55,MX
127,Jumla,29.2747,82.1838,58.42,89,94,2.95,NP
128,Touros,-5.1989,-35.4608,79.7,80,11,15.21,BR
129,East London,-33.0153,27.9116,66.54,61,38,15.88,ZA
130,Ancud,-41.8697,-73.8203,49.53,62,39,12.64,CL
131,Ohangaron,40.9064,69.6383,59.14,11,0,6.46,UZ
132,Korla,41.7597,86.1469,59.95,27,0,3.65,CN
133,Honningsvag,70.9821,25.9704,46.78,83,100,12.64,NO
134,San Ciro De Acosta,21.6333,-99.8167,76.32,68,85,10.45,MX
135,Shestakovo,56.4915,103.96,27.48,94,94,3.27,RU
136,Khatanga,71.9667,102.5,28.71,92,92,10.07,RU
137,Oussouye,12.485,-16.5469,80.78,84,88,4.74,SN
138,Saint-Philippe,-21.3585,55.7679,71.15,85,40,13.6,RE
139,Bethel,41.3712,-73.414,73.11,73,16,3.44,US
140,Natal,-5.795,-35.2094,80.82,78,40,13.8,BR
141,El Alto,-4.2714,-81.2147,69.46,75,48,21.5,PE
142,Northam,51.0333,-4.2167,62.29,90,76,7.45,GB
143,Tautira,-17.7333,-149.15,82.42,79,12,13.49,PF
144,Butaritari,3.0707,172.7902,82.98,75,50,10.51,KI
145,Neiafu,-18.65,-173.9833,75.88,57,75,5.75,TO
146,Ariquemes,-9.9133,-63.0408,81.95,63,85,3.6,BR
147,Cherskiy,68.75,161.3,32.27,97,100,13.31,RU
148,Atambua,-9.1061,124.8925,72.18,81,50,3.13,ID
149,Port Blair,11.6667,92.75,80.2,87,100,11.74,IN
150,Kalmunai,7.4167,81.8167,79.2,83,100,6.04,LK
151,Vao,-22.6667,167.4833,68.29,59,17,10.04,NC
152,Ileza,61.0533,43.9002,42.96,93,99,8.3,RU
153,Tasiilaq,65.6145,-37.6368,37.56,66,100,10.4,GL
154,Shingu,33.7333,135.9833,72.91,92,100,8.08,JP
155,Nanortalik,60.1432,-45.2371,37.63,75,1,7.67,GL
156,Ilulissat,69.2167,-51.1,24.82,50,75,4.61,GL
157,Longyearbyen,78.2186,15.6401,40.84,81,40,9.22,SJ
158,Gravdal,68.1214,13.5031,47.01,77,66,10.6,NO
159,Padang,-0.9492,100.3543,77.05,88,98,3.69,ID
160,Cockburn Town,21.4612,-71.1419,85.96,62,20,5.75,TC
161,Luocheng,29.3848,104.0286,72.77,95,52,2.98,CN
162,Corinto,37.9407,22.9573,72.68,61,0,2.42,GR
163,Qui Nhon,13.7667,109.2333,76.68,90,100,4.9,VN
164,Kapit,2.0167,112.9333,74.05,98,100,2.26,MY
165,Chaska,44.7894,-93.6022,72.68,30,1,5.01,US
166,Nukus,42.4531,59.6103,66.18,39,0,13.8,UZ
167,Bowen,-20.0167,148.2333,59.22,73,0,6.73,AU
168,Ulkan,57.243,107.3223,37.67,95,100,8.01,RU
169,Torbay,47.6666,-52.7314,51.28,80,90,12.66,CA
170,Laguna,38.421,-121.4238,97.23,34,1,4.0,US
171,Sungaipenuh,-2.0833,101.3833,65.82,97,100,0.83,ID
172,Nalut,30.3333,10.85,83.88,22,0,9.89,LY
173,Lichuan,30.3,108.85,63.16,96,2,3.85,CN
174,Talnakh,69.4865,88.3972,30.96,70,40,1.66,RU
175,Gigmoto,13.7796,124.39,81.09,83,35,3.94,PH
176,Kavaratti,10.5669,72.642,81.48,79,76,19.24,IN
177,Pacific Grove,36.6177,-121.9166,86.58,82,1,1.99,US
178,Dalsingh Sarai,25.6667,85.8333,85.03,68,100,5.23,IN
179,Turaiyur,11.1667,78.6167,81.66,86,100,7.2,IN
180,Jalu,29.0331,21.5482,73.38,37,1,4.25,LY
181,Maniitsoq,65.4167,-52.9,31.71,56,0,4.76,GL
182,Ugoofaaru,5.6667,73.0,81.57,79,100,19.93,MV
183,Kodiak,57.79,-152.4072,45.91,49,1,8.05,US
184,Grand Forks,47.9417,-97.4337,79.59,21,40,16.11,US
185,Dubai,25.2582,55.3047,91.33,66,0,5.01,AE
186,Pa Sang,18.5262,98.9394,77.85,65,100,4.29,TH
187,Alice Springs,-23.7,133.8833,54.95,28,3,6.91,AU
188,Kamaishi,39.2667,141.8833,62.69,80,100,5.79,JP
189,Avarua,-21.2078,-159.775,77.05,78,90,17.27,CK
190,Diu,20.7141,70.9822,78.06,83,96,7.16,IN
191,Qinhuangdao,39.9317,119.5883,67.19,87,100,5.75,CN
192,Qasigiannguit,68.8193,-51.1922,25.05,87,5,3.85,GL
193,Handan,36.6006,114.4678,61.57,96,100,11.99,CN
194,Beringovskiy,63.05,179.3167,33.78,62,65,5.39,RU
195,Nikolskoye,59.7035,30.7861,49.89,91,98,9.33,RU
196,Lorengau,-2.0226,147.2712,83.12,75,82,6.73,PG
197,Swellendam,-34.0226,20.4417,61.18,57,28,2.66,ZA
198,Tuatapere,-46.1333,167.6833,43.83,77,69,8.37,NZ
199,Yongan,39.6957,113.6871,55.53,91,84,4.54,CN
200,Barrow,71.2906,-156.7887,28.42,80,90,6.91,US
201,Harer,9.3094,42.1258,60.75,78,79,2.21,ET
202,Alekseyevsk,57.8406,108.3492,38.79,88,100,9.48,RU
203,Dikson,73.5069,80.5464,35.89,83,100,18.75,RU
204,Yellowknife,62.456,-114.3525,47.41,84,75,3.0,CA
205,Mahebourg,-20.4081,57.7,72.25,78,40,14.97,MU
206,Kandla,23.0333,70.2167,81.34,78,60,14.7,IN
207,Mount Isa,-20.7333,139.5,71.37,14,4,8.05,AU
208,Qaqortoq,60.7167,-46.0333,39.7,78,0,6.04,GL
209,Todos Santos,23.45,-110.2167,94.1,80,40,7.67,MX
210,Port Lincoln,-34.7333,135.8667,53.56,71,16,14.05,AU
211,Whitehorse,60.7161,-135.0538,48.09,47,75,10.0,CA
